final_rank,candidate_id,template_id,template_name,template_path,template_formula,formula,mapping_json,n_sites,is_known_formula,proxy_TC_300K,proxy_abs_error,composition_OOD_distance,proxy_score,initial_cif_path,initial_formula_check,initial_volume,initial_min_distance,initial_lattice_scale,relaxed_cif_path,relaxed_formula_check,relaxed_volume,volume_change_percent,final_total_energy_eV,final_energy_per_atom_eV,final_max_force_eV_per_A,relax_converged,TC_Basic_GNN,TC_Basic_GNN_raw,graph_OOD_count,graph_OOD_features,graph_n_atoms,graph_n_elements,graph_mean_degree,graph_edge_length_mean,graph_edge_length_std,graph_edge_length_min,graph_edge_length_max,target_TC,target_temperature_K,model_abs_error,composition_OOD_ratio,passes_composition_domain,passes_graph_domain,passes_relaxation_sanity,passes_all_diagnostic_checks
1,cand_0002,2,mp-1216671_TmCuTe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-1216671_TmCuTe2.cif,TmCuTe2,Eu2SbAs,"{""Cu"": ""As"", ""Te"": ""Eu"", ""Tm"": ""Sb""}",4,False,0.7832890471449283,0.016710952855071737,1.38883376121521,0.08615264091583223,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0002__Eu2SbAs.cif,Eu2SbAs,145.35333718924636,2.8342688881562594,1.093645484949833,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0002__Eu2SbAs__relaxed.cif,Eu2SbAs,138.76441843918437,-4.533035757881078,-33.063411712646484,-8.265852928161621,0.05818407679940503,False,0.7607383728027344,0.7607383728027344,1,edge_length_max,4.0,3.0,12.0,3.8029701709747314,0.7503769397735596,2.977428436279297,5.156589984893799,0.8,300.0,0.03926162719726567,2.920690192869538,False,False,False,False
2,cand_0018,12,mp-12360_AgSbTe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-12360_AgSbTe2.cif,AgSbTe2,EuAsO2,"{""Ag"": ""As"", ""Sb"": ""Eu"", ""Te"": ""O""}",4,False,0.821782152219311,0.021782152219310902,2.095628261566162,0.12656356529761903,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0018__EuAsO2.cif,EuAsO2,59.472422438720166,2.424853632270737,0.8017857142857143,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0018__EuAsO2__relaxed.cif,EuAsO2,61.689082920740866,3.72720731916499,-31.706077575683594,-7.926519393920898,0.03946631161801504,True,0.7237095832824707,0.7237095832824707,0,,4.0,3.0,12.0,2.9837520122528076,0.4938868284225464,2.4853100776672363,3.4907937049865723,0.8,300.0,0.07629041671752934,4.407065181149556,False,True,True,False
3,cand_0006,13,mp-1288145_LaCoO3,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-1288145_LaCoO3.cif,LaCoO3,EuSO3,"{""Co"": ""S"", ""La"": ""Eu"", ""O"": ""O""}",10,False,0.7823333468285664,0.017666653171433677,1.7154029607772827,0.10343680121029782,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0006__EuSO3.cif,EuSO3,99.16995768794632,1.8172432686158644,0.9435028248587572,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0006__EuSO3__relaxed.cif,EuSO3,145.96387808475185,47.185580681651466,-83.354248046875,-8.3354248046875,0.0361905755190468,True,0.709303617477417,0.709303617477417,1,edge_length_min,10.0,3.0,12.0,2.8483800888061523,0.5497577786445618,1.5430340766906738,3.7114124298095703,0.8,300.0,0.09069638252258305,3.607458822125521,False,False,True,False
4,cand_0008,36,mp-686651_Ca9LaTi10O30,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-686651_Ca9LaTi10O30.cif,Ca9LaTi10O30,Eu10Ru(Se3O10)3,"{""Ca"": ""Se"", ""La"": ""Ru"", ""O"": ""O"", ""Ti"": ""Eu""}",100,False,0.774656637207162,0.025343362792837998,1.6255475282669067,0.10662073920618334,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0008__Eu10Ru_Se3O10_3.cif,Eu10Ru(Se3O10)3,1041.3792798207735,1.8674963387060783,0.9655557624278533,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0008__Eu10Ru_Se3O10_3__relaxed.cif,Eu10Ru(Se3O10)3,1549.0557075885013,48.75038687682565,-805.964111328125,-8.05964111328125,0.06429940986996352,False,0.6818646192550659,0.6818646192550659,1,edge_length_min,100.0,4.0,12.0,2.9248034954071045,0.5385597348213196,1.7199325561523438,3.941797971725464,0.8,300.0,0.11813538074493413,3.418494607805533,False,False,False,False
5,cand_0003,20,mp-20554_InAgSe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-20554_InAgSe2.cif,InAgSe2,Tm2GaSb,"{""Ag"": ""Ga"", ""In"": ""Sb"", ""Se"": ""Tm""}",8,False,0.8033564072113246,0.0033564072113245746,1.6846901178359985,0.0875909131031245,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0003__Tm2GaSb.cif,Tm2GaSb,403.93261852989133,3.1749457259559293,1.2163187855787478,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0003__Tm2GaSb__relaxed.cif,Tm2GaSb,303.0792183114412,-24.96787721316121,-32.47218322753906,-4.059022903442383,0.02590759214001382,True,0.940849781036377,0.940849781036377,2,"edge_length_mean,edge_length_std",8.0,3.0,12.0,4.116430282592773,0.8541401624679565,2.8678860664367676,4.783485412597656,0.8,300.0,0.1408497810363769,3.5428703150782392,False,False,True,False
6,cand_0011,21,mp-22261_InCuTe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-22261_InCuTe2.cif,InCuTe2,TeAs2Pb,"{""Cu"": ""Pb"", ""In"": ""Te"", ""Te"": ""As""}",8,False,0.8137451615722123,0.013745161572212283,1.9898031949996948,0.11323532132219703,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0011__TeAs2Pb.cif,TeAs2Pb,207.4190432497469,2.4525590800996415,0.9490909090909091,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0011__TeAs2Pb__relaxed.cif,TeAs2Pb,262.98282257360063,26.78817646311824,-31.467554092407227,-3.9334442615509033,0.03482374599698905,True,0.9449611306190491,0.9449611306190491,1,edge_length_std,8.0,3.0,12.0,3.926010847091675,0.8161529898643494,2.7103073596954346,4.614707946777344,0.8,300.0,0.14496113061904903,4.184517139251436,False,False,True,False
7,cand_0019,21,mp-22261_InCuTe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-22261_InCuTe2.cif,InCuTe2,Eu2CuTe,"{""Cu"": ""Te"", ""In"": ""Cu"", ""Te"": ""Eu""}",8,False,0.7851131098602545,0.014886890139745534,2.2386481761932373,0.1268192989494074,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0019__Eu2CuTe.cif,Eu2CuTe,430.7842387030805,3.1291271021960934,1.210909090909091,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0019__Eu2CuTe__relaxed.cif,Eu2CuTe,326.95668249190106,-24.101985839538326,-59.329566955566406,-7.416195869445801,0.002276999719261698,True,0.9921960830688477,0.9921960830688477,3,"edge_length_mean,edge_length_std,edge_length_max",8.0,3.0,12.0,4.204524993896484,0.8701144456863403,2.8543105125427246,5.042206287384033,0.8,300.0,0.1921960830688476,4.707833259879757,False,False,True,False
8,cand_0012,24,mp-22811_InCuSe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-22811_InCuSe2.cif,InCuSe2,Tm2ZnSb,"{""Cu"": ""Zn"", ""In"": ""Sb"", ""Se"": ""Tm""}",8,False,0.8241535821999935,0.024153582199993417,1.815907597541809,0.11494896207708388,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0012__Tm2ZnSb.cif,Tm2ZnSb,381.0963413891276,3.0199943037554156,1.2470817120622566,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0012__Tm2ZnSb__relaxed.cif,Tm2ZnSb,309.01821157257166,-18.913361790308773,-27.822734832763672,-3.477841854095459,0.022773991420779256,True,1.0407087802886963,1.0407087802886963,2,"edge_length_mean,edge_length_std",8.0,3.0,12.0,4.161281108856201,0.8724329471588135,2.9224541187286377,4.787464141845703,0.8,300.0,0.24070878028869624,3.818818104376279,False,False,True,False
9,cand_0005,41,mp-9257_Yb(CdSb)2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-9257_Yb(CdSb)2.cif,Yb(CdSb)2,Yb(TmAs)2,"{""Cd"": ""Tm"", ""Sb"": ""As"", ""Yb"": ""Yb""}",5,False,0.7989001037922603,0.001099896207739759,2.0428972244262695,0.10324475742905324,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0005__Yb_TmAs_2.cif,Yb(TmAs)2,169.90499825789314,3.1122762430558137,1.0690571049136788,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0005__Yb_TmAs_2__relaxed.cif,Yb(TmAs)2,131.52852648963653,-22.58701754612671,-26.119792938232422,-5.223958587646484,0.02638000261262399,True,1.2548744678497314,1.2548744678497314,0,,5.0,3.0,12.0,3.50738525390625,0.6130813956260681,2.7547807693481445,4.46561861038208,0.8,300.0,0.4548744678497314,4.29617284303447,False,True,True,False
10,cand_0010,39,mp-7427_Ba(ZnAs)2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-7427_Ba(ZnAs)2.cif,Ba(ZnAs)2,Eu2In2As,"{""As"": ""Eu"", ""Ba"": ""As"", ""Zn"": ""In""}",20,False,0.7244266290131602,0.0755733709868398,0.6480912566184998,0.1079779338177648,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0010__Eu2In2As.cif,Eu2In2As,703.7873224710831,2.8740184112554004,1.1463414634146338,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_Basic_GNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0010__Eu2In2As__relaxed.cif,Eu2In2As,614.6800532861947,-12.661107459569168,-136.283447265625,-6.81417236328125,0.027965053342389794,True,1.2553927898406982,1.2553927898406982,0,,20.0,3.0,12.0,3.6085760593414307,0.5523184537887573,2.919832468032837,4.676032543182373,0.8,300.0,0.4553927898406982,1.3629232166950704,False,True,True,False
