final_rank,candidate_id,template_id,template_name,template_path,template_formula,formula,mapping_json,n_sites,is_known_formula,proxy_TC_300K,proxy_abs_error,composition_OOD_distance,proxy_score,initial_cif_path,initial_formula_check,initial_volume,initial_min_distance,initial_lattice_scale,relaxed_cif_path,relaxed_formula_check,relaxed_volume,volume_change_percent,final_total_energy_eV,final_energy_per_atom_eV,final_max_force_eV_per_A,relax_converged,TC_CGCNN,TC_CGCNN_raw,graph_OOD_count,graph_OOD_features,graph_n_atoms,graph_n_elements,graph_mean_degree,graph_edge_length_mean,graph_edge_length_std,graph_edge_length_min,graph_edge_length_max,target_TC,target_temperature_K,model_abs_error,composition_OOD_ratio,passes_composition_domain,passes_graph_domain,passes_relaxation_sanity,passes_all_diagnostic_checks
1,cand_0012,24,mp-22811_InCuSe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-22811_InCuSe2.cif,InCuSe2,Tm2ZnSb,"{""Cu"": ""Zn"", ""In"": ""Sb"", ""Se"": ""Tm""}",8,False,0.8241535821999935,0.024153582199993417,1.815907597541809,0.11494896207708388,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0012__Tm2ZnSb.cif,Tm2ZnSb,381.0963413891276,3.0199943037554156,1.2470817120622566,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0012__Tm2ZnSb__relaxed.cif,Tm2ZnSb,309.01818809529493,-18.9133679507659,-27.82273292541504,-3.47784161567688,0.022762141192944153,True,0.7953508496284485,0.7953508496284485,2,"edge_length_mean,edge_length_std",8.0,3.0,12.0,4.161281108856201,0.8724328875541687,2.922454357147217,4.787464141845703,0.8,300.0,0.004649150371551558,3.818818104376279,False,False,True,False
2,cand_0010,39,mp-7427_Ba(ZnAs)2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-7427_Ba(ZnAs)2.cif,Ba(ZnAs)2,Eu2In2As,"{""As"": ""Eu"", ""Ba"": ""As"", ""Zn"": ""In""}",20,False,0.7244266290131602,0.0755733709868398,0.6480912566184998,0.1079779338177648,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0010__Eu2In2As.cif,Eu2In2As,703.7873224710831,2.8740184112554004,1.1463414634146338,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0010__Eu2In2As__relaxed.cif,Eu2In2As,614.6801868349881,-12.661088483837556,-136.283447265625,-6.81417236328125,0.027961714086179132,True,0.7651084065437317,0.7651084065437317,0,,20.0,3.0,12.0,3.6085762977600098,0.552318811416626,2.919829845428467,4.676037311553955,0.8,300.0,0.034891593456268355,1.3629232166950704,False,True,True,False
3,cand_0013,39,mp-7427_Ba(ZnAs)2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-7427_Ba(ZnAs)2.cif,Ba(ZnAs)2,Ag2PbSe2,"{""As"": ""Se"", ""Ba"": ""Pb"", ""Zn"": ""Ag""}",20,False,0.856357555756601,0.05635755575660095,1.2336907386779785,0.11804209269049988,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0013__Ag2PbSe2.cif,Ag2PbSe2,426.2272277701488,2.4315850388093243,0.9698708751793397,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0013__Ag2PbSe2__relaxed.cif,Ag2PbSe2,511.6078374264083,20.031711747496026,-73.4736328125,-3.673681640625,0.039752228437397896,True,0.7364330887794495,0.7364330887794495,0,,20.0,3.0,12.0,3.4691779613494873,0.5896527171134949,2.615269899368286,4.330866813659668,0.8,300.0,0.06356691122055058,2.5944274556934546,False,True,True,False
4,cand_0018,12,mp-12360_AgSbTe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-12360_AgSbTe2.cif,AgSbTe2,EuAsO2,"{""Ag"": ""As"", ""Sb"": ""Eu"", ""Te"": ""O""}",4,False,0.821782152219311,0.021782152219310902,2.095628261566162,0.12656356529761903,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0018__EuAsO2.cif,EuAsO2,59.472422438720166,2.424853632270737,0.8017857142857143,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0018__EuAsO2__relaxed.cif,EuAsO2,61.68908639683498,3.727213164049009,-31.706077575683594,-7.926519393920898,0.03944165925716064,True,0.7139697670936584,0.7139697670936584,0,,4.0,3.0,12.0,2.9837520122528076,0.4938868582248688,2.4853107929229736,3.4907925128936768,0.8,300.0,0.0860302329063416,4.407065181149556,False,True,True,False
5,cand_0008,36,mp-686651_Ca9LaTi10O30,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-686651_Ca9LaTi10O30.cif,Ca9LaTi10O30,Eu10Ru(Se3O10)3,"{""Ca"": ""Se"", ""La"": ""Ru"", ""O"": ""O"", ""Ti"": ""Eu""}",100,False,0.774656637207162,0.025343362792837998,1.6255475282669067,0.10662073920618334,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0008__Eu10Ru_Se3O10_3.cif,Eu10Ru(Se3O10)3,1041.3792798207735,1.8674963387060783,0.9655557624278533,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0008__Eu10Ru_Se3O10_3__relaxed.cif,Eu10Ru(Se3O10)3,1549.0555730833291,48.75037396076569,-805.9639892578125,-8.059639892578126,0.06425515237961203,False,0.6513752341270447,0.6513752341270447,1,edge_length_min,100.0,4.0,12.0,2.9248039722442627,0.5385600924491882,1.7199304103851318,3.9419326782226562,0.8,300.0,0.14862476587295537,3.418494607805533,False,False,False,False
6,cand_0004,21,mp-22261_InCuTe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-22261_InCuTe2.cif,InCuTe2,TlCdSe2,"{""Cu"": ""Cd"", ""In"": ""Tl"", ""Te"": ""Se""}",8,False,0.813660493896101,0.013660493896100911,1.6731616258621216,0.097318575189207,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0004__TlCdSe2.cif,TlCdSe2,215.87588638200836,2.485447803395996,0.9618181818181817,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0004__TlCdSe2__relaxed.cif,TlCdSe2,271.91902348672147,25.96081389356319,-25.683372497558594,-3.210421562194824,0.028929240598879635,True,0.6362949013710022,0.6362949013710022,2,"edge_length_mean,edge_length_std",8.0,3.0,12.0,3.955950975418091,0.8193979263305664,2.6882681846618652,4.737997055053711,0.8,300.0,0.16370509862899785,3.518626122297949,False,False,True,False
7,cand_0001,24,mp-22811_InCuSe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-22811_InCuSe2.cif,InCuSe2,TlSbSe2,"{""Cu"": ""Sb"", ""In"": ""Tl"", ""Se"": ""Se""}",8,False,0.8005723592235934,0.0005723592235933328,1.6729906797409058,0.08422189321063862,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0001__TlSbSe2.cif,TlSbSe2,208.18745293869281,2.468762894177595,1.0194552529182879,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0001__TlSbSe2__relaxed.cif,TlSbSe2,314.62972692094695,51.12809272593355,-30.96169090270996,-3.870211362838745,0.024907356519630906,True,0.6147734522819519,0.6147734522819519,3,"edge_length_mean,edge_length_std,edge_length_max",8.0,3.0,12.0,4.136428356170654,0.8583307862281799,2.752702474594116,5.087812423706055,0.8,300.0,0.18522654771804814,3.518266625953831,False,False,False,False
8,cand_0019,21,mp-22261_InCuTe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-22261_InCuTe2.cif,InCuTe2,Eu2CuTe,"{""Cu"": ""Te"", ""In"": ""Cu"", ""Te"": ""Eu""}",8,False,0.7851131098602545,0.014886890139745534,2.2386481761932373,0.1268192989494074,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0019__Eu2CuTe.cif,Eu2CuTe,430.7842387030805,3.1291271021960934,1.210909090909091,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0019__Eu2CuTe__relaxed.cif,Eu2CuTe,326.9566431544277,-24.101994971133646,-59.329559326171875,-7.416194915771484,0.0022796275101571012,True,1.0203272104263306,1.0203272104263306,3,"edge_length_mean,edge_length_std,edge_length_max",8.0,3.0,12.0,4.204524993896484,0.8701144456863403,2.8543097972869873,5.042206287384033,0.8,300.0,0.22032721042633052,4.707833259879757,False,False,True,False
9,cand_0005,41,mp-9257_Yb(CdSb)2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-9257_Yb(CdSb)2.cif,Yb(CdSb)2,Yb(TmAs)2,"{""Cd"": ""Tm"", ""Sb"": ""As"", ""Yb"": ""Yb""}",5,False,0.7989001037922603,0.001099896207739759,2.0428972244262695,0.10324475742905324,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0005__Yb_TmAs_2.cif,Yb(TmAs)2,169.90499825789314,3.1122762430558137,1.0690571049136788,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0005__Yb_TmAs_2__relaxed.cif,Yb(TmAs)2,131.52852008833557,-22.587021313703318,-26.119794845581055,-5.223958969116211,0.026378393260993206,True,0.5791623592376709,0.5791623592376709,0,,5.0,3.0,12.0,3.507385015487671,0.6130812764167786,2.7547810077667236,4.465618133544922,0.8,300.0,0.22083764076232915,4.29617284303447,False,True,True,False
10,cand_0003,20,mp-20554_InAgSe2,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\downloaded_cif_TE\mp-20554_InAgSe2.cif,InAgSe2,Tm2GaSb,"{""Ag"": ""Ga"", ""In"": ""Sb"", ""Se"": ""Tm""}",8,False,0.8033564072113246,0.0033564072113245746,1.6846901178359985,0.0875909131031245,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\initial_cifs\cand_0003__Tm2GaSb.cif,Tm2GaSb,403.93261852989133,3.1749457259559293,1.2163187855787478,C:\Users\Admin\Downloads\final_CGCNN_GNN_model_for_TE_TC\model_edited\inverse_design_CGCNN_Prototype_CHGNet_TC0p8_T300K\relaxed_cifs\cand_0003__Tm2GaSb__relaxed.cif,Tm2GaSb,303.0791719694417,-24.967888685866654,-32.47218704223633,-4.059023380279541,0.025896749254358444,True,1.1156036853790283,1.1156036853790283,2,"edge_length_mean,edge_length_std",8.0,3.0,12.0,4.116430282592773,0.8541401028633118,2.8678855895996094,4.783485412597656,0.8,300.0,0.3156036853790283,3.5428703150782392,False,False,True,False
