identifier,formula,atoms,num_atoms,Formula_original,Temperature (K),TC,DOI,formation_energy_per_atom,cif_path
mp-691,SnSe,"MSONAtoms(symbols='Sn4Se4', pbc=True, cell=[4.70090745, 4.12625095, 11.6644585])",2,Sn50Se50,295,1.03, 10.1039/C4TA01643B?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,-0.453546308,downloaded_cif_TE\mp-691_SnSe.cif
mp-691,SnSe,"MSONAtoms(symbols='Sn4Se4', pbc=True, cell=[4.70090745, 4.12625095, 11.6644585])",2,Sn50Se50,346,0.89, 10.1039/C4TA01643B?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,-0.453546308,downloaded_cif_TE\mp-691_SnSe.cif
mp-691,SnSe,"MSONAtoms(symbols='Sn4Se4', pbc=True, cell=[4.70090745, 4.12625095, 11.6644585])",2,Sn50Se50,400,0.78, 10.1039/C4TA01643B?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,-0.453546308,downloaded_cif_TE\mp-691_SnSe.cif
mp-691,SnSe,"MSONAtoms(symbols='Sn4Se4', pbc=True, cell=[4.70090745, 4.12625095, 11.6644585])",2,Sn50Se50,449,0.72, 10.1039/C4TA01643B?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,-0.453546308,downloaded_cif_TE\mp-691_SnSe.cif
mp-691,SnSe,"MSONAtoms(symbols='Sn4Se4', pbc=True, cell=[4.70090745, 4.12625095, 11.6644585])",2,Sn50Se50,500,0.67, 10.1039/C4TA01643B?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,-0.453546308,downloaded_cif_TE\mp-691_SnSe.cif
mp-691,SnSe,"MSONAtoms(symbols='Sn4Se4', pbc=True, cell=[4.70090745, 4.12625095, 11.6644585])",2,Sn50Se50,552,0.64, 10.1039/C4TA01643B?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,-0.453546308,downloaded_cif_TE\mp-691_SnSe.cif
mp-691,SnSe,"MSONAtoms(symbols='Sn4Se4', pbc=True, cell=[4.70090745, 4.12625095, 11.6644585])",2,Sn50Se50,598,0.62, 10.1039/C4TA01643B?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,-0.453546308,downloaded_cif_TE\mp-691_SnSe.cif
mp-691,SnSe,"MSONAtoms(symbols='Sn4Se4', pbc=True, cell=[4.70090745, 4.12625095, 11.6644585])",2,Sn50Se50,648,0.59, 10.1039/C4TA01643B?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,-0.453546308,downloaded_cif_TE\mp-691_SnSe.cif
mp-691,SnSe,"MSONAtoms(symbols='Sn4Se4', pbc=True, cell=[4.70090745, 4.12625095, 11.6644585])",2,Sn50Se50,699,0.57, 10.1039/C4TA01643B?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,-0.453546308,downloaded_cif_TE\mp-691_SnSe.cif
mp-691,SnSe,"MSONAtoms(symbols='Sn4Se4', pbc=True, cell=[4.70090745, 4.12625095, 11.6644585])",2,Sn50Se50,754,0.55, 10.1039/C4TA01643B?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,-0.453546308,downloaded_cif_TE\mp-691_SnSe.cif
